level,clear_rewards,chests_rewards
1,100,10
2,110,20
3,120,30
4,130,40
5,140,50
6,150,60
7,160,70
8,170,80
9,180,90
10,190,100
11,200,110
12,210,120
13,220,130
14,230,140
15,240,150
16,250,160
17,260,170
18,270,180
19,280,190
20,290,200
21,300,210
22,310,220
23,320,230
24,330,240
25,340,250
26,350,260
27,360,270
28,370,280
29,380,290
30,390,300
31,400,310
32,410,320
33,420,330
34,430,340
35,440,350
36,450,360
37,460,370
38,470,380
39,480,390
40,490,400
41,500,410
42,510,420
43,520,430
44,530,440
45,540,450
46,550,460
47,560,470
48,570,480
49,580,490
50,590,500
